GBS-CODE,Gruppe,Geschlecht,Geburtsjahr,Alter,Geburtsland,Nationalitaet,Familienstand,Hoechster Bildungsabschluss,Berufliche Ausbildung,Erwerbstaetigkeit,Berufsgruppe,Personen im Haushalt,Nettoeinkommen Selbst,Nettoeinkommen Haushalt,Schlechter Schlaf,Leben genießen,Zu Nichts aufraffen,Alles anstrengend,Wahlteilnahme,Wahlabsicht,Desinteresse Politiker,Zufriedenheit Leben,Aktiv,Verärgert,Wach,Nervös,Ängstlich,Zurueckhaltend,leicht Vertrauen,Faulheit,Entspannt,wenig kuenstlerisches Interesse,Gesellig,Andere kritisieren,Gruendlich,Nervoes,Phantasievoll,Druck,Optimismus Zukunft,Zufriedenheit Wahlergebnis,Resilienz,BRS1,BRS2,BRS3,BRS4,BRS5,BRS6,woechentlicheArbeitszeit,Optimismus,Pessimismus,Schulabschluss,label,GESIS-CODE,Leben genie�en,Ver�rgert,Nerv�s,�ngstlich
GBS-14152,NEGATIV,1,1962.0,54.0,1.0,1.0,1.0,2.0,6.0,1.0,0.0,3.0,0.0,3.0,2.0,2.0,3.0,2.0,1.0,1.0,4.0,2.0,3.0,3.0,2.0,2.0,4.0,5.0,4.0,1.0,3.0,2.0,2.0,4.0,5.0,2.0,4.0,2.0,5.0,3.0,2.0,4.0,2.0,4.0,2.0,4.0,2.0,2.0,5.0,2.0,4.0,1,,,,,
GBS-14859,NEGATIV,0,1947.0,70.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,2.0,3.0,3.0,3.0,2.0,1.0,1.0,3.0,3.0,3.0,4.0,4.0,3.0,4.0,4.0,3.0,2.0,4.0,3.0,3.0,4.0,4.0,2.0,4.0,4.0,5.0,3.0,2.0,4.0,2.0,5.0,1.0,5.0,2.0,1.0,6.0,2.0,2.0,1,,,,,
GBS-17363,,1,1975.0,42.0,1.0,1.0,1.0,3.0,2.0,1.0,0.0,4.0,0.0,4.0,2.0,3.0,3.0,2.0,1.0,1.0,3.0,3.0,3.0,4.0,4.0,4.0,4.0,3.0,4.0,5.0,4.0,3.0,3.0,2.0,4.0,2.0,5.0,3.0,4.0,2.0,2.0,5.0,2.0,5.0,2.0,4.0,2.0,3.0,5.0,2.0,5.0,1,,,,,
GBS-18120,,1,1951.0,65.0,1.0,1.0,1.0,2.0,6.0,1.0,0.0,2.0,0.0,2.0,4.0,3.0,4.0,2.0,1.0,1.0,3.0,3.0,4.0,4.0,4.0,4.0,4.0,2.0,4.0,3.0,2.0,2.0,4.0,4.0,4.0,3.0,3.0,4.0,4.0,3.0,2.0,3.0,3.0,4.0,2.0,4.0,2.0,1.0,5.0,1.0,3.0,1,,,,,
GBS-18583,,1,1958.0,59.0,1.0,1.0,1.0,2.0,6.0,1.0,0.0,1.0,1.0,4.0,3.0,3.0,3.0,2.0,1.0,1.0,3.0,3.0,3.0,4.0,4.0,4.0,4.0,3.0,2.0,1.0,4.0,1.0,4.0,2.0,5.0,2.0,1.0,4.0,5.0,3.0,2.0,5.0,2.0,5.0,2.0,4.0,2.0,3.0,7.0,1.0,3.0,1,,,,,
GBS-18926,POSITIV,0,1979.0,38.0,1.0,1.0,2.0,3.0,1.0,1.0,2.0,4.0,1.0,3.0,2.0,2.0,2.0,3.0,1.0,1.0,3.0,2.0,2.0,2.0,2.0,2.0,4.0,3.0,3.0,4.0,3.0,3.0,4.0,4.0,4.0,2.0,5.0,2.0,2.0,2.0,2.0,4.0,3.0,4.0,3.0,2.0,2.0,4.0,3.0,5.0,4.0,1,,,,,
GBS-19512,,1,1972.0,45.0,1.0,1.0,0.0,2.0,1.0,1.0,0.0,3.0,1.0,2.0,2.0,3.0,3.0,3.0,1.0,1.0,3.0,2.0,3.0,3.0,2.0,3.0,3.0,3.0,4.0,2.0,2.0,2.0,3.0,3.0,4.0,4.0,5.0,1.0,4.0,3.0,3.0,4.0,3.0,3.0,3.0,3.0,3.0,2.0,6.0,2.0,3.0,1,,,,,
GBS-19680,,0,1956.0,61.0,1.0,1.0,1.0,2.0,1.0,1.0,3.0,2.0,2.0,3.0,3.0,2.0,2.0,3.0,1.0,1.0,3.0,3.0,2.0,2.0,3.0,2.0,4.0,4.0,4.0,4.0,2.0,4.0,2.0,4.0,4.0,3.0,4.0,2.0,4.0,3.0,4.0,3.0,4.0,2.0,4.0,2.0,4.0,4.0,5.0,3.0,3.0,1,,,,,
GBS-20053,,0,1946.0,71.0,1.0,1.0,1.0,3.0,2.0,2.0,0.0,2.0,1.0,3.0,3.0,3.0,3.0,2.0,1.0,1.0,3.0,3.0,3.0,3.0,4.0,3.0,4.0,4.0,5.0,2.0,2.0,4.0,2.0,3.0,4.0,2.0,3.0,4.0,5.0,2.0,2.0,4.0,1.0,4.0,2.0,2.0,2.0,1.0,6.0,2.0,5.0,1,,,,,
GBS-20595,POSITIV,0,1968.0,49.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,3.0,3.0,2.0,1.0,1.0,3.0,3.0,3.0,3.0,4.0,4.0,3.0,5.0,2.0,4.0,2.0,3.0,2.0,4.0,4.0,4.0,2.0,3.0,2.0,4.0,3.0,3.0,3.0,2.0,3.0,4.0,3.0,3.0,3.0,4.0,2.0,1,,,,,
GBS-20693,,1,1991.0,26.0,1.0,1.0,2.0,3.0,8.0,2.0,0.0,4.0,2.0,3.0,4.0,3.0,2.0,3.0,1.0,1.0,3.0,2.0,2.0,4.0,4.0,3.0,4.0,4.0,4.0,4.0,2.0,4.0,2.0,5.0,5.0,5.0,5.0,3.0,4.0,2.0,2.0,4.0,1.0,4.0,4.0,3.0,2.0,1.0,6.0,5.0,4.0,1,,,,,
GBS-20952,,1,1955.0,61.0,1.0,1.0,1.0,3.0,2.0,1.0,0.0,3.0,1.0,3.0,3.0,2.0,3.0,2.0,1.0,1.0,3.0,2.0,3.0,2.0,4.0,2.0,3.0,3.0,2.0,5.0,2.0,4.0,4.0,4.0,5.0,5.0,4.0,2.0,1.0,4.0,4.0,2.0,4.0,2.0,4.0,1.0,4.0,3.0,2.0,6.0,5.0,1,,,,,
GBS-20957,,0,1942.0,75.0,0.0,1.0,1.0,2.0,6.0,1.0,0.0,1.0,0.0,2.0,4.0,3.0,3.0,2.0,1.0,1.0,3.0,3.0,3.0,3.0,3.0,3.0,4.0,4.0,4.0,2.0,4.0,1.0,4.0,2.0,4.0,2.0,4.0,3.0,3.0,4.0,2.0,4.0,2.0,2.0,2.0,4.0,2.0,1.0,5.0,2.0,4.0,1,,,,,
GBS-20967,POSITIV,0,1990.0,27.0,1.0,1.0,2.0,3.0,5.0,3.0,0.0,1.0,0.0,0.0,2.0,1.0,1.0,4.0,1.0,1.0,3.0,1.0,1.0,3.0,2.0,3.0,3.0,5.0,2.0,5.0,4.0,3.0,1.0,1.0,5.0,3.0,4.0,3.0,3.0,1.0,5.0,2.0,2.0,2.0,5.0,2.0,5.0,1.0,6.0,3.0,5.0,1,,,,,
GBS-21180,NEGATIV,0,1949.0,68.0,1.0,1.0,1.0,3.0,2.0,1.0,0.0,2.0,2.0,3.0,3.0,3.0,3.0,2.0,1.0,1.0,5.0,3.0,3.0,4.0,3.0,3.0,4.0,5.0,4.0,3.0,3.0,2.0,2.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,3.0,2.0,4.0,4.0,2.0,4.0,1.0,6.0,3.0,5.0,1,,,,,
GBS-21254,POSITIV,0,1952.0,65.0,1.0,1.0,1.0,3.0,5.0,1.0,0.0,2.0,1.0,4.0,4.0,3.0,3.0,2.0,1.0,1.0,3.0,3.0,3.0,3.0,4.0,3.0,4.0,4.0,4.0,2.0,4.0,5.0,2.0,2.0,5.0,1.0,4.0,4.0,5.0,4.0,2.0,5.0,1.0,5.0,2.0,4.0,2.0,1.0,6.0,2.0,5.0,1,,,,,
GBS-22274,,0,1947.0,70.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,2.0,2.0,3.0,3.0,3.0,3.0,2.0,1.0,0.0,3.0,3.0,3.0,4.0,4.0,4.0,4.0,1.0,4.0,1.0,4.0,4.0,5.0,2.0,4.0,1.0,4.0,4.0,5.0,3.0,1.0,4.0,1.0,5.0,1.0,5.0,1.0,1.0,7.0,1.0,2.0,1,,,,,
GBS-22623,,1,1945.0,72.0,1.0,1.0,1.0,3.0,6.0,2.0,8.0,3.0,0.0,2.0,3.0,3.0,3.0,2.0,1.0,1.0,3.0,3.0,3.0,4.0,3.0,4.0,4.0,3.0,4.0,2.0,5.0,3.0,2.0,3.0,5.0,3.0,4.0,4.0,5.0,4.0,2.0,5.0,2.0,4.0,4.0,5.0,2.0,1.0,6.0,1.0,1.0,1,,,,,
GBS-23224,NEGATIV,0,1980.0,37.0,1.0,0.0,2.0,2.0,1.0,1.0,5.0,2.0,1.0,1.0,2.0,2.0,3.0,2.0,0.0,1.0,4.0,3.0,3.0,2.0,2.0,2.0,2.0,4.0,4.0,2.0,3.0,4.0,2.0,2.0,2.0,2.0,4.0,2.0,2.0,3.0,4.0,5.0,5.0,4.0,4.0,4.0,4.0,5.0,7.0,1.0,4.0,1,,,,,
GBS-23235,POSITIV,1,1985.0,32.0,1.0,1.0,1.0,3.0,2.0,4.0,2.0,1.0,1.0,4.0,4.0,2.0,2.0,2.0,1.0,1.0,3.0,2.0,2.0,3.0,3.0,3.0,4.0,2.0,4.0,1.0,3.0,1.0,4.0,3.0,4.0,2.0,5.0,3.0,5.0,2.0,3.0,4.0,2.0,4.0,3.0,4.0,3.0,1.0,7.0,1.0,5.0,1,,,,,
GBS-23639,,1,1993.0,24.0,1.0,1.0,2.0,3.0,8.0,3.0,0.0,1.0,0.0,1.0,4.0,3.0,2.0,2.0,1.0,1.0,3.0,3.0,2.0,2.0,4.0,2.0,4.0,4.0,4.0,4.0,2.0,3.0,2.0,4.0,5.0,5.0,3.0,3.0,2.0,2.0,3.0,4.0,4.0,5.0,3.0,4.0,3.0,1.0,2.0,5.0,4.0,1,,,,,
GBS-23829,POSITIV,0,1994.0,22.0,1.0,1.0,2.0,3.0,1.0,2.0,5.0,3.0,0.0,3.0,4.0,1.0,3.0,2.0,1.0,1.0,3.0,2.0,3.0,2.0,4.0,4.0,4.0,4.0,2.0,1.0,4.0,2.0,3.0,2.0,5.0,2.0,5.0,2.0,4.0,1.0,2.0,5.0,2.0,5.0,2.0,4.0,2.0,3.0,6.0,2.0,4.0,1,,,,,
